# of Queries,Total Runtime,Throughput,Latency
1.000000000000000000e+02,1.045059556961059570e+02,9.568832640580898774e-01,1.045059556961059677e+00
1.000000000000000000e+02,1.046917765140533447e+02,9.551848610246522764e-01,1.046917765140533474e+00
1.000000000000000000e+02,1.041712653636932373e+02,9.599576202791615387e-01,1.041712653636932329e+00
1.000000000000000000e+02,1.042222011089324951e+02,9.594884672938400749e-01,1.042222011089324996e+00
1.000000000000000000e+02,1.042857043743133545e+02,9.589042007240929921e-01,1.042857043743133483e+00
1.000000000000000000e+02,1.044754078388214111e+02,9.571630498372802887e-01,1.044754078388214102e+00
1.000000000000000000e+02,1.041954059600830078e+02,9.597352117262227811e-01,1.041954059600830096e+00
1.000000000000000000e+02,1.027450690269470215e+02,9.732827175752145621e-01,1.027450690269470224e+00
1.000000000000000000e+02,1.026192255020141602e+02,9.744762690499670921e-01,1.026192255020141664e+00
1.000000000000000000e+02,1.028796217441558838e+02,9.720097945993909638e-01,1.028796217441558802e+00
1.000000000000000000e+02,1.033086450099945068e+02,9.679732029233911739e-01,1.033086450099945042e+00
1.000000000000000000e+02,1.032325868606567383e+02,9.686863716297250404e-01,1.032325868606567276e+00
1.000000000000000000e+02,1.026563689708709717e+02,9.741236808051848550e-01,1.026563689708709814e+00
1.000000000000000000e+02,1.030789000988006592e+02,9.701306465644322641e-01,1.030789000988006521e+00
1.000000000000000000e+02,1.028624765872955322e+02,9.721718095629725553e-01,1.028624765872955260e+00
1.000000000000000000e+02,1.026094069480895996e+02,9.745695153524305265e-01,1.026094069480895987e+00
1.000000000000000000e+02,1.031382584571838379e+02,9.695723148312938022e-01,1.031382584571838290e+00
1.000000000000000000e+02,1.029627590179443359e+02,9.712249453472008298e-01,1.029627590179443386e+00
1.000000000000000000e+02,1.026619851589202881e+02,9.740703907605181566e-01,1.026619851589202881e+00
1.000000000000000000e+02,1.028189978599548340e+02,9.725829086197235185e-01,1.028189978599548304e+00
1.000000000000000000e+02,1.026191110610961914e+02,9.744773557867125735e-01,1.026191110610962021e+00
1.000000000000000000e+02,1.033338656425476074e+02,9.677369503035905263e-01,1.033338656425476065e+00
1.000000000000000000e+02,1.030409519672393799e+02,9.704879282539410346e-01,1.030409519672393692e+00
1.000000000000000000e+02,1.029862079620361328e+02,9.710038070035850177e-01,1.029862079620361248e+00
1.000000000000000000e+02,1.031372127532958984e+02,9.695821452844560762e-01,1.031372127532959038e+00
1.000000000000000000e+02,1.030083146095275879e+02,9.707954195646131268e-01,1.030083146095275959e+00
