# of Geofences,Runtime Encrypt,Runtime Compute,Runtime Evaluate,Runtime Total
2.000000000000000000e+02,7.447440624237060547e-01,8.925003767013549805e+00,1.407976722717285156e+01,2.374951505661010742e+01
2.000000000000000000e+02,7.306246757507324219e-01,8.875603437423706055e+00,1.380296516418457031e+01,2.340919327735900879e+01
3.000000000000000000e+02,7.343695163726806641e-01,1.332625532150268555e+01,2.069159173965454102e+01,3.475221657752990723e+01
3.000000000000000000e+02,7.516434192657470703e-01,1.340871000289916992e+01,2.077447104454040527e+01,3.493482446670532227e+01
3.000000000000000000e+02,7.273736000061035156e-01,1.343476867675781250e+01,2.070832228660583496e+01,3.487046456336975098e+01
3.000000000000000000e+02,7.310276031494140625e-01,1.331148600578308105e+01,2.086444664001464844e+01,3.490696024894714355e+01
3.000000000000000000e+02,7.462186813354492188e-01,1.388797116279602051e+01,2.147312736511230469e+01,3.610731720924377441e+01
3.000000000000000000e+02,8.109998703002929688e-01,1.387502431869506836e+01,2.055940175056457520e+01,3.524542593955993652e+01
3.000000000000000000e+02,7.358460426330566406e-01,1.326133298873901367e+01,2.072814369201660156e+01,3.472532272338867188e+01
3.000000000000000000e+02,7.616741657257080078e-01,1.341878700256347656e+01,2.071246075630187988e+01,3.489292192459106445e+01
3.000000000000000000e+02,7.568957805633544922e-01,1.326133751869201660e+01,2.057471537590026855e+01,3.459294867515563965e+01
3.000000000000000000e+02,7.437815666198730469e-01,1.323157429695129395e+01,2.060003089904785156e+01,3.457538676261901855e+01
3.000000000000000000e+02,7.519252300262451172e-01,1.329887557029724121e+01,2.050729775428771973e+01,3.455809855461120605e+01
3.000000000000000000e+02,7.459974288940429688e-01,1.338984990119934082e+01,2.069063544273376465e+01,3.482648277282714844e+01
3.000000000000000000e+02,7.546086311340332031e-01,1.322998571395874023e+01,2.048623156547546387e+01,3.447082591056823730e+01
3.000000000000000000e+02,7.460920810699462891e-01,1.326612281799316406e+01,2.050605893135070801e+01,3.451827383041381836e+01
3.000000000000000000e+02,7.411060333251953125e-01,1.324537825584411621e+01,2.066628718376159668e+01,3.465277147293090820e+01
3.000000000000000000e+02,7.736682891845703125e-01,1.327503204345703125e+01,2.051294088363647461e+01,3.456164121627807617e+01
3.000000000000000000e+02,7.387058734893798828e-01,1.326876592636108398e+01,2.060429191589355469e+01,3.461176371574401855e+01
3.000000000000000000e+02,7.392735481262207031e-01,1.323802661895751953e+01,2.057966327667236328e+01,3.455696344375610352e+01
3.000000000000000000e+02,7.395484447479248047e-01,1.325099563598632812e+01,2.057576060295104980e+01,3.456630468368530273e+01
3.000000000000000000e+02,7.407040596008300781e-01,1.322036075592041016e+01,2.050457477569580078e+01,3.446563959121704102e+01
3.000000000000000000e+02,7.419974803924560547e-01,1.321671819686889648e+01,2.051192402839660645e+01,3.447063970565795898e+01
3.000000000000000000e+02,7.579665184020996094e-01,1.322673964500427246e+01,2.051381492614746094e+01,3.449852108955383301e+01
3.000000000000000000e+02,7.496359348297119141e-01,1.320721125602722168e+01,2.047573328018188477e+01,3.443258047103881836e+01
3.000000000000000000e+02,7.550849914550781250e-01,1.322450304031372070e+01,2.071597385406494141e+01,3.469556188583374023e+01
3.000000000000000000e+02,7.687544822692871094e-01,1.322627639770507812e+01,2.057438015937805176e+01,3.456941103935241699e+01
3.000000000000000000e+02,7.499334812164306641e-01,1.326571679115295410e+01,2.055883264541625977e+01,3.457448291778564453e+01
3.000000000000000000e+02,7.458202838897705078e-01,1.328137445449829102e+01,2.052519917488098145e+01,3.455239391326904297e+01
3.000000000000000000e+02,7.402191162109375000e-01,1.319280195236206055e+01,2.054757022857666016e+01,3.448059129714965820e+01
3.000000000000000000e+02,7.440452575683593750e-01,1.328417253494262695e+01,2.053333926200866699e+01,3.456155705451965332e+01
3.000000000000000000e+02,7.733998298645019531e-01,1.326261663436889648e+01,2.049624037742614746e+01,3.453225684165954590e+01
